id,name,active,notes
270463003,Caribbean I./W.I./Guyana (NMO) (ethnic group),y,direct mapping
186037000,Other European in New Zealand (ethnic group),y,direct mapping
315237009,White Irish (ethnic group),y,direct mapping
401213008,White Scottish (ethnic group),y,direct mapping
92461000000105,Pakistani or British Pakistani - ethnic category 2001 census (finding),y,direct mapping
107691000000105,Caribbean - ethnic category 2001 census (finding),y,direct mapping
93941000000108,Greek Cypriot - ethnic category 2001 census (finding),y,direct mapping
977431000000100,Mixed multiple ethnic groups: White and Asian - Northern Ireland ethnic category 2011 census (finding),y,direct mapping
92721000000106,Mixed Black - ethnic category 2001 census (finding),y,direct mapping
315635008,Black African and White (ethnic group),y,direct mapping
978341000000102,"Caribbean or Black: Black, Black Scottish or Black British - Scotland ethnic category 2011 census (finding)",y,direct mapping
186010002,Other African countries (NMO) (ethnic group),y,direct mapping
275591005,Caribbean Island (NMO) (ethnic group),y,direct mapping
92731000000108,Nigerian - ethnic category 2001 census (finding),y,direct mapping
978191000000109,Asian or Asian Scottish or Asian British: Chinese - Scotland ethnic category 2011 census (finding),y,direct mapping
94001000000108,Croatian - ethnic category 2001 census (finding),y,direct mapping
977591000000103,Asian or Asian British: Indian - Northern Ireland ethnic category 2011 census (finding),y,direct mapping
270465005,E Afric Asian/Indo-Carib (NMO) (ethnic group),y,direct mapping
270461001,Black N African/Arab/Iranian (ethnic group),y,direct mapping
315634007,Black Caribbean and White (ethnic group),y,direct mapping
978071000000106,"Asian or Asian Scottish or Asian British: Pakistani, Pakistani Scottish or Pakistani British - Scotland ethnic category 2011 census (finding)",y,direct mapping
89001000000105,Arab - ethnic category 2001 census (finding),y,direct mapping
413466005,Afro-Caucasian (ethnic group),y,direct mapping
978401000000105,Other ethnic group: any other ethnic group - Scotland ethnic category 2011 census (finding),y,direct mapping
93981000000100,Kosovan - ethnic category 2001 census (finding),y,direct mapping
186019001,"Other ethnic, mixed origin (ethnic group)",y,direct mapping
275596000,East African Asian (NMO) (ethnic group),y,direct mapping
92501000000105,Other Black background - ethnic category 2001 census (finding),y,direct mapping
92641000000107,Punjabi - ethnic category 2001 census (finding),y,direct mapping
94081000000103,Israeli - ethnic category 2001 census (finding),y,direct mapping
92431000000100,White and Black African - ethnic category 2001 census (finding),y,direct mapping
